#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=680 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:51.25 aq:31.95 tex:1660 mv:3732 misc:6080 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:51.25 aq:33.00 tex:26 mv:41 misc:437 imb:4 pmb:0 smb:8156 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:51.25 aq:35.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:51.25 aq:36.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:51.25 aq:36.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:51.01 aq:45.31 tex:1770 mv:282 misc:468 imb:30 pmb:8 smb:8122 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:51.13 aq:45.47 tex:139 mv:50 misc:467 imb:0 pmb:26 smb:8134 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:51.19 aq:36.00 tex:2 mv:9 misc:413 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:51.07 aq:46.04 tex:390 mv:180 misc:454 imb:2 pmb:29 smb:8129 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:50.76 aq:44.99 tex:3006 mv:713 misc:497 imb:57 pmb:20 smb:8083 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:50.71 aq:44.44 tex:3198 mv:1214 misc:548 imb:72 pmb:59 smb:8029 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:50.67 aq:38.45 tex:4918 mv:1574 misc:596 imb:110 pmb:65 smb:7985 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:50.63 aq:34.88 tex:3499 mv:1942 misc:727 imb:170 pmb:92 smb:7898 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:50.59 aq:36.11 tex:3401 mv:1979 misc:740 imb:122 pmb:109 smb:7929 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:50.61 aq:45.80 tex:471 mv:574 misc:723 imb:10 pmb:97 smb:8053 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:50.62 aq:39.14 tex:441 mv:920 misc:679 imb:9 pmb:108 smb:8043 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:50.60 aq:47.15 tex:287 mv:170 misc:519 imb:2 pmb:22 smb:8136 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:47.22 aq:29.30 tex:4798 mv:4512 misc:1250 imb:5290 pmb:249 smb:2621 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:48.90 aq:44.86 tex:536 mv:1161 misc:743 imb:17 pmb:121 smb:8022 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:49.75 aq:35.96 tex:150 mv:467 misc:591 imb:1 pmb:56 smb:8103 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:48.06 aq:41.62 tex:57 mv:417 misc:566 imb:9 pmb:45 smb:8106 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:41.02 aq:22.12 tex:25193 mv:6490 misc:1381 imb:6964 pmb:335 smb:861 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:40.12 aq:22.55 tex:15878 mv:2504 misc:1082 imb:145 pmb:229 smb:7786 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:40.57 aq:31.42 tex:193 mv:562 misc:613 imb:13 pmb:47 smb:8100 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:38.69 aq:22.17 tex:11986 mv:995 misc:1131 imb:60 pmb:210 smb:7890 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:39.41 aq:32.96 tex:244 mv:681 misc:627 imb:0 pmb:77 smb:8083 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:39.76 aq:25.00 tex:0 mv:3 misc:397 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:39.05 aq:24.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:40.33 aq:25.18 tex:3193 mv:1311 misc:824 imb:48 pmb:109 smb:8003 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:39.51 aq:30.39 tex:179 mv:525 misc:600 imb:4 pmb:47 smb:8109 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:39.10 aq:33.88 tex:83 mv:176 misc:445 imb:2 pmb:13 smb:8145 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:39.92 aq:25.00 tex:3 mv:42 misc:411 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:39.67 aq:24.82 tex:3970 mv:1053 misc:905 imb:36 pmb:124 smb:8000 d:- ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:40.00 aq:24.00 tex:5 mv:36 misc:463 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:40.17 aq:25.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:39.84 aq:25.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:39.26 aq:28.04 tex:2646 mv:701 misc:749 imb:14 pmb:103 smb:8043 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:39.47 aq:23.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:39.57 aq:25.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:39.36 aq:24.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:39.89 aq:30.89 tex:2313 mv:666 misc:741 imb:17 pmb:93 smb:8050 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:39.57 aq:23.00 tex:9 mv:7 misc:424 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:39.42 aq:24.00 tex:1 mv:4 misc:395 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:39.73 aq:25.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:46 out:44 type:P dur:2 cpbdur:2 q:38.50 aq:29.37 tex:18876 mv:1113 misc:915 imb:128 pmb:96 smb:7936 d:- ref:0 ;
in:44 out:45 type:B dur:2 cpbdur:2 q:39.42 aq:24.00 tex:11 mv:63 misc:566 imb:0 pmb:52 smb:8108 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:38.96 aq:24.00 tex:103 mv:398 misc:523 imb:29 pmb:29 smb:8102 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:37.57 aq:24.18 tex:19965 mv:1151 misc:1036 imb:94 pmb:189 smb:7877 d:- ref:0 ;
in:49 out:48 type:P dur:2 cpbdur:2 q:37.38 aq:22.54 tex:19345 mv:947 misc:988 imb:54 pmb:183 smb:7923 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:37.47 aq:22.04 tex:38 mv:26 misc:408 imb:2 pmb:1 smb:8157 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:36.83 aq:20.08 tex:13666 mv:1013 misc:1385 imb:91 pmb:310 smb:7759 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:37.10 aq:21.73 tex:104 mv:22 misc:482 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:37.24 aq:22.00 tex:29 mv:36 misc:431 imb:2 pmb:3 smb:8155 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:36.97 aq:22.00 tex:39 mv:39 misc:418 imb:3 pmb:1 smb:8156 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:35.65 aq:19.40 tex:11891 mv:518 misc:1247 imb:27 pmb:215 smb:7918 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:36.24 aq:20.00 tex:67 mv:31 misc:478 imb:1 pmb:8 smb:8151 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:36.53 aq:22.00 tex:25 mv:9 misc:414 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:35.94 aq:21.00 tex:25 mv:9 misc:414 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:34.56 aq:20.71 tex:13184 mv:689 misc:1231 imb:58 pmb:212 smb:7890 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:35.10 aq:19.65 tex:59 mv:13 misc:448 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:35.38 aq:20.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:34.83 aq:20.00 tex:35 mv:23 misc:430 imb:1 pmb:4 smb:8155 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:34.15 aq:19.66 tex:7239 mv:497 misc:1152 imb:34 pmb:137 smb:7989 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:34.35 aq:19.74 tex:142 mv:39 misc:515 imb:1 pmb:12 smb:8147 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:34.45 aq:19.00 tex:49 mv:20 misc:443 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:34.25 aq:19.00 tex:35 mv:16 misc:429 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:34.53 aq:19.11 tex:1350 mv:290 misc:760 imb:13 pmb:41 smb:8106 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:34.34 aq:18.00 tex:28 mv:20 misc:456 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:34.24 aq:19.00 tex:10 mv:9 misc:405 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:34.44 aq:19.00 tex:53 mv:50 misc:465 imb:1 pmb:8 smb:8151 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:34.07 aq:18.53 tex:2610 mv:495 misc:943 imb:34 pmb:66 smb:8060 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:34.30 aq:18.00 tex:100 mv:50 misc:498 imb:2 pmb:9 smb:8149 d:- ref:0 ;
